name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;407;0;407;3053;1371;3053;1050;0
header;238;153;238;186;1885;186;1885;153
A;1036;216;1036;243;1056;243;1056;216
A;529;267;529;283;537;283;537;267
D;503;313;503;329;512;329;512;313
A;869;359;869;374;877;374;877;359
B;623;448;623;464;632;464;632;448
A;699;483;699;498;710;498;710;483
A;832;622;832;635;841;635;841;622
B;1034;886;1034;913;1057;913;1057;886
C;1033;1556;1033;1587;1056;1587;1056;1556
A;802;1630;802;1646;810;1646;810;1630
D;593;1759;593;1785;627;1785;627;1759
A;566;1767;566;1784;576;1784;576;1767
D;722;1997;722;2013;731;2013;731;1997
B;501;2077;501;2093;510;2093;510;2077
A;522;2077;522;2104;529;2104;529;2077
B;768;2077;768;2104;776;2104;776;2077
A;1210;2078;1210;2093;1220;2093;1220;2078
A;971;2079;971;2093;980;2093;980;2079
A;598;2115;598;2141;605;2141;605;2115
B;828;2115;828;2129;847;2129;847;2115
B;715;2122;715;2146;733;2146;733;2122
